transaction_id,item_1,item_2,item_3,item_4,item_5
1,Honeywell 5800CO Carbon Monoxide Detector (SKU: 5800CO),Hanwha XRN-2010 NVR (SKU: XRN-2010),,,
2,Hanwha QNV-6010R Network Camera (SKU: QNV-6010R),Bosch B5512 Control Panel (SKU: B5512),Pelco IMP1110-1ES IP Camera (SKU: IMP1110-1ES),GE Interlogix 60-807-95R Glassbreak Detector (SKU: 60-807-95R),Bosch F220-B6 Detector Base (SKU: F220-B6)
3,Bosch F220-B6 Detector Base (SKU: F220-B6),GE Interlogix 60-652-95R Carbon Monoxide Detector (SKU: 60-652-95R),DSC WS4933 Carbon Monoxide Detector (SKU: WS4933),,
4,GE Interlogix 60-652-95R Carbon Monoxide Detector (SKU: 60-652-95R),Dahua 8-Channel NVR (SKU: NVR4208-8P-4KS2),Bosch NDN-50022-A3 IP Camera (SKU: NDN-50022-A3),Dahua DH-IPC-HDBW4431R-ZS IP Camera (SKU: DH-IPC-HDBW4431R-ZS),Bosch B5512 Control Panel (SKU: B5512)
5,Hanwha QNV-6010R Network Camera (SKU: QNV-6010R),Pelco DSSRV2-040-US NVR (SKU: DSSRV2-040-US),DSC WS4916 Smoke Detector (SKU: WS4916),Axis P3367-VE Network Camera (SKU: 0407-001),Dahua DH-IPC-HDBW4431R-ZS IP Camera (SKU: DH-IPC-HDBW4431R-ZS)
6,Hanwha XRN-2010 NVR (SKU: XRN-2010),Bosch D7050 Detector (SKU: D7050),Honeywell VISTA-20P Control Panel (SKU: VISTA-20P),Hikvision DS-2CD2385FWD-I IP Camera (SKU: DS-2CD2385FWD-I),
7,Axis P3367-VE Network Camera (SKU: 0407-001),Honeywell 5800PIR-RES Motion Detector (SKU: 5800PIR-RES),Dahua DH-IPC-HFW4431R-Z IP Camera (SKU: DH-IPC-HFW4431R-Z),,
8,DSC PowerSeries Neo Alarm Kit (SKU: HS2016NK),Bosch NDN-50022-A3 IP Camera (SKU: NDN-50022-A3),GE Interlogix 60-848-02-95R Smoke Detector (SKU: 60-848-02-95R),,
9,Honeywell 5800CO Carbon Monoxide Detector (SKU: 5800CO),Bosch B5512 Control Panel (SKU: B5512),Hanwha QNV-6010R Network Camera (SKU: QNV-6010R),DSC PowerSeries Neo Alarm Kit (SKU: HS2016NK),GE Interlogix 60-848-02-95R Smoke Detector (SKU: 60-848-02-95R)
10,Honeywell 5808W3 Smoke Detector (SKU: 5808W3),Bosch F220-B6 Detector Base (SKU: F220-B6),,,
11,Honeywell VISTA-20P Control Panel (SKU: VISTA-20P),Dahua DH-IPC-HFW4431R-Z IP Camera (SKU: DH-IPC-HFW4431R-Z),Pelco Sarix IMP121-1IS IP Camera (SKU: IMP121-1IS),Hanwha QNV-6010R Network Camera (SKU: QNV-6010R),Hikvision DS-2CD2385FWD-I IP Camera (SKU: DS-2CD2385FWD-I)
12,Hanwha QNV-6010R Network Camera (SKU: QNV-6010R),Pelco IMP1110-1ES IP Camera (SKU: IMP1110-1ES),Dahua DH-IPC-HFW4431R-Z IP Camera (SKU: DH-IPC-HFW4431R-Z),,
13,GE Interlogix 60-807-95R Glassbreak Detector (SKU: 60-807-95R),GE Interlogix 60-746-01-95R Wireless Keypad (SKU: 60-746-01-95R),Bosch B5512 Control Panel (SKU: B5512),GE Interlogix 60-848-02-95R Smoke Detector (SKU: 60-848-02-95R),
14,Bosch NVR-5500-16A00 NVR (SKU: NVR-5500-16A00),DSC WS4939 Wireless Key (SKU: WS4939),Bosch F220-B6 Detector Base (SKU: F220-B6),Pelco IMP1110-1ES IP Camera (SKU: IMP1110-1ES),Honeywell H4D3PRV2 IP Camera (SKU: H4D3PRV2)
15,Bosch B810 Wireless Receiver (SKU: B810),GE Interlogix 60-848-02-95R Smoke Detector (SKU: 60-848-02-95R),Hanwha QNV-6010R Network Camera (SKU: QNV-6010R),,
16,Dahua 8-Channel NVR (SKU: NVR4208-8P-4KS2),DSC WS4939 Wireless Key (SKU: WS4939),Honeywell 5808W3 Smoke Detector (SKU: 5808W3),,
17,Bosch B5512 Control Panel (SKU: B5512),Honeywell 5800CO Carbon Monoxide Detector (SKU: 5800CO),,,
18,Honeywell VISTA-20P Control Panel (SKU: VISTA-20P),Bosch DS160 Detector (SKU: DS160),Hikvision 4MP IP Camera (SKU: DS-2CD2142FWD-I),,
19,DSC WS4939 Wireless Key (SKU: WS4939),Dahua 8-Channel NVR (SKU: NVR4208-8P-4KS2),Bosch DS160 Detector (SKU: DS160),,
20,Honeywell VISTA-20P Control Panel (SKU: VISTA-20P),DSC WS4916 Smoke Detector (SKU: WS4916),Pelco Sarix IMP121-1IS IP Camera (SKU: IMP121-1IS),Bosch B5512 Control Panel (SKU: B5512),
21,Pelco IMP1110-1ES IP Camera (SKU: IMP1110-1ES),Hikvision DS-7608NI-I2/8P NVR (SKU: DS-7608NI-I2/8P),Bosch NVR-5500-16A00 NVR (SKU: NVR-5500-16A00),Dahua 8-Channel NVR (SKU: NVR4208-8P-4KS2),
22,Bosch NVR-5500-16A00 NVR (SKU: NVR-5500-16A00),Bosch B5512 Control Panel (SKU: B5512),Pelco IMP1110-1ES IP Camera (SKU: IMP1110-1ES),Dahua DH-IPC-HDBW4431R-ZS IP Camera (SKU: DH-IPC-HDBW4431R-ZS),
23,GE Interlogix 60-848-02-95R Smoke Detector (SKU: 60-848-02-95R),GE Interlogix 60-807-95R Glassbreak Detector (SKU: 60-807-95R),Honeywell 5800CO Carbon Monoxide Detector (SKU: 5800CO),,
24,DSC PowerSeries Neo Alarm Kit (SKU: HS2016NK),Dahua 8-Channel NVR (SKU: NVR4208-8P-4KS2),Hanwha QND-6010R Network Camera (SKU: QND-6010R),Hanwha QNV-6010R Network Camera (SKU: QNV-6010R),
